X,Y,TYPE
3374,3210,MOVE
3542,3428,MOVE
3787,3745,MOVE
3787,3745,UP
3787,3745,MOVE
3787,3745,DOWN
2331,927,MOVE
2332,928,MOVE
2335,929,MOVE
2335,929,UP
2335,929,MOVE
2335,929,DOWN
309,576,MOVE
308,577,MOVE
306,577,MOVE
306,578,MOVE
306,578,UP
306,578,MOVE
306,578,DOWN
3762,257,MOVE
3761,258,MOVE
3760,260,MOVE
3759,261,MOVE
3759,261,UP
3759,261,MOVE
3759,261,DOWN
2634,974,MOVE
2633,974,MOVE
2630,974,MOVE
2631,975,MOVE
2632,975,MOVE
2635,976,MOVE
2635,976,UP
2635,976,MOVE
2635,976,DOWN
2744,1557,MOVE
2743,1557,MOVE
2741,1558,MOVE
2740,1559,MOVE
2738,1560,MOVE
2736,1562,MOVE
2737,1564,MOVE
2737,1564,UP
2737,1564,MOVE
2737,1564,DOWN
2773,2187,MOVE
2770,2187,MOVE
2768,2188,MOVE
2765,2190,MOVE
2762,2192,MOVE
2760,2196,MOVE
2760,2196,UP
2760,2196,MOVE
2760,2196,DOWN
2839,2473,MOVE
2835,2474,MOVE
2834,2474,MOVE
2832,2474,MOVE
2833,2473,MOVE
2833,2473,UP
2833,2473,MOVE
2833,2473,DOWN
2714,2441,MOVE
2714,2442,MOVE
2714,2442,MOVE
2714,2440,MOVE
2713,2438,MOVE
2713,2438,UP
2713,2438,MOVE
2713,2438,DOWN
2598,2264,MOVE
2596,2264,MOVE
2598,2263,MOVE
2601,2261,MOVE
2601,2261,UP
2601,2261,MOVE
2601,2261,DOWN
2543,1560,MOVE
2543,1561,MOVE
2543,1562,MOVE
2543,1562,UP
2543,1562,MOVE
2543,1562,DOWN
2309,1036,MOVE
2309,1036,UP
2309,1036,MOVE
2309,1036,DOWN
341,1571,MOVE
344,1572,MOVE
347,1572,MOVE
350,1572,MOVE
354,1573,MOVE
360,1573,MOVE
360,1573,UP
360,1573,MOVE
360,1573,DOWN
257,3722,MOVE
259,3722,MOVE
259,3723,MOVE
261,3722,MOVE
261,3722,UP
261,3722,MOVE
261,3722,DOWN
3318,276,MOVE
3316,276,MOVE
3314,277,MOVE
3313,277,MOVE
3310,276,MOVE
3310,276,UP
3310,276,MOVE
3310,276,DOWN
213,281,MOVE
213,279,MOVE
213,278,MOVE
213,278,UP
213,278,MOVE
213,278,DOWN
1224,3656,MOVE
1226,3657,MOVE
1231,3657,MOVE
1234,3655,MOVE
1234,3655,UP
1234,3655,MOVE
1234,3655,DOWN
3275,293,MOVE
3273,294,MOVE
3273,295,MOVE
3273,295,UP
3273,295,MOVE
3273,295,DOWN
339,280,MOVE
343,280,MOVE
346,280,MOVE
346,280,UP
346,280,MOVE
346,280,DOWN
2232,3622,MOVE
2232,3623,MOVE
2232,3624,MOVE
2234,3624,MOVE
2237,3624,MOVE
2237,3624,UP
2237,3624,MOVE
2237,3624,DOWN
2549,1606,MOVE
2548,1606,MOVE
2545,1606,MOVE
2547,1606,MOVE
2550,1606,MOVE
2553,1606,MOVE
2556,1605,MOVE
2556,1605,UP
2556,1605,MOVE
2556,1605,DOWN
2269,2211,MOVE
2269,2212,MOVE
2269,2213,MOVE
2269,2214,MOVE
2271,2214,MOVE
2273,2214,MOVE
2276,2213,MOVE
2279,2213,MOVE
2283,2213,MOVE
2283,2213,UP
2283,2213,MOVE
2283,2213,DOWN
3274,3907,MOVE
3274,3908,MOVE
3274,3909,MOVE
3274,3910,MOVE
3274,3910,UP
3274,3910,MOVE
3274,3910,DOWN
3186,4012,MOVE
3186,4013,MOVE
3186,4014,MOVE
3186,4014,UP
3186,4014,MOVE
3186,4014,DOWN
3241,2564,MOVE
3241,2565,MOVE
3241,2566,MOVE
3241,2567,MOVE
3243,2567,MOVE
3247,2567,MOVE
3250,2566,MOVE
3250,2566,UP
3250,2566,MOVE
3250,2566,DOWN
2668,2685,MOVE
2662,2670,MOVE
2650,2618,MOVE
2628,2516,MOVE
2606,2377,MOVE
2595,2197,MOVE
2594,1975,MOVE
2628,1706,MOVE
2677,1435,MOVE
2755,1155,MOVE
2873,866,MOVE
3025,565,MOVE
3131,284,MOVE
3233,12,MOVE
3233,12,UP
3233,12,MOVE
3233,12,DOWN
2261,1252,MOVE
2259,1266,MOVE
2252,1305,MOVE
2247,1376,MOVE
2254,1472,MOVE
2275,1598,MOVE
2325,1752,MOVE
2415,1933,MOVE
2532,2109,MOVE
2677,2278,MOVE
2849,2441,MOVE
3039,2601,MOVE
3250,2746,MOVE
3592,2980,MOVE
3592,2980,UP
3592,2980,MOVE
3592,2980,DOWN
3133,1318,MOVE
3133,1315,MOVE
3133,1307,MOVE
3134,1294,MOVE
3135,1275,MOVE
3138,1233,MOVE
3151,1157,MOVE
3177,1037,MOVE
3217,909,MOVE
3275,774,MOVE
3349,631,MOVE
3438,505,MOVE
3521,384,MOVE
3611,267,MOVE
3691,151,MOVE
3778,24,MOVE
3778,24,UP
3778,24,MOVE
3778,24,DOWN
1705,2183,MOVE
1702,2183,MOVE
1701,2181,MOVE
1703,2180,MOVE
1706,2178,MOVE
1714,2176,MOVE
1714,2176,UP
1714,2176,MOVE
1714,2176,DOWN
2967,2234,MOVE
2967,2235,MOVE
2966,2236,MOVE
2966,2236,UP
2966,2236,MOVE
2966,2236,DOWN
3089,2558,MOVE
3088,2558,MOVE
3088,2558,UP
3088,2558,MOVE
3088,2558,DOWN
321,594,MOVE
321,594,MOVE
318,593,MOVE
322,589,MOVE
322,589,UP
322,589,MOVE
322,589,DOWN
2453,2784,MOVE
2451,2785,MOVE
2449,2786,MOVE
2448,2786,MOVE
2449,2787,MOVE
2449,2787,UP
2449,2787,MOVE
2449,2787,DOWN
374,674,MOVE
375,674,MOVE
374,674,MOVE
372,672,MOVE
372,672,UP
372,672,MOVE
372,672,DOWN
289,603,MOVE
287,603,MOVE
283,603,MOVE
282,604,MOVE
279,604,MOVE
279,604,UP
279,604,MOVE
279,604,DOWN
2374,3043,MOVE
2372,3043,MOVE
2368,3042,MOVE
2368,3042,MOVE
2368,3042,UP
2368,3042,MOVE
2368,3042,DOWN
1741,950,MOVE
1741,951,MOVE
1741,952,MOVE
1741,953,MOVE
1743,954,MOVE
1743,957,MOVE
1743,957,UP
1743,957,MOVE
1743,957,DOWN
2559,3361,MOVE
2559,3362,MOVE
2561,3361,MOVE
2561,3361,UP
2561,3361,MOVE
2561,3361,DOWN
1159,3670,MOVE
1161,3670,MOVE
1165,3669,MOVE
1165,3669,UP
1165,3669,MOVE
1165,3669,DOWN
1881,1002,MOVE
1881,1003,MOVE
1881,1004,MOVE
1881,1006,MOVE
1881,1006,UP
1881,1006,MOVE
1881,1006,DOWN
